Code\x20H  4669 presidio  cwd       DIR                1,5         1632            16467370 /Users/presidio/Downloads/Genspark-Training
Code\x20H  4669 presidio   19r      REG                1,5          628            19426437 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/menu/menu.ts
Code\x20H  4669 presidio   20r      REG                1,5          429            19360572 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/tsconfig.app.json
Code\x20H  4669 presidio   21r      REG                1,5          429            18416661 /Users/presidio/Downloads/Genspark-Training/10-06-2025/MyApp/tsconfig.app.json
Code\x20H  4669 presidio   23r      REG                1,5          992            19360571 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/tsconfig.json
Code\x20H  4669 presidio   24r      REG                1,5          408            19360573 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/tsconfig.spec.json
Code\x20H  4669 presidio   25r      REG                1,5          222            19360579 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/src/main.ts
Code\x20H  4669 presidio   26r      REG                1,5          856            19474015 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/src/app/product/product.ts
Code\x20H  4669 presidio   27r      REG                1,5          429            18865744 /Users/presidio/Downloads/Genspark-Training/11-06-2025/MyApp/tsconfig.app.json
Code\x20H  4669 presidio   28r      REG                1,5          228            19360588 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/src/app/app.routes.ts
Code\x20H  4669 presidio   29r      REG                1,5          429            19547356 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/tsconfig.app.json
Code\x20H  4669 presidio   30r      REG                1,5          162            19469293 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/src/app/Models/Product.ts
Code\x20H  4669 presidio   31r      REG                1,5         1052            19547357 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/tsconfig.json
Code\x20H  4669 presidio   32r      REG                1,5          408            19547358 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/tsconfig.spec.json
Code\x20H  4669 presidio   33r      REG                1,5          222            19547354 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/main.ts
Code\x20H  4669 presidio   34r      REG                1,5          698            19547319 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/app.config.ts
Code\x20H  4669 presidio   35r      REG                1,5          700            19547322 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/app.routes.ts
Code\x20H  4669 presidio   36r      REG                1,5         1832            19362991 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/node_modules/@angular/platform-browser/package.json
Code\x20H  4669 presidio   37r      REG                1,5         2362            19372932 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/node_modules/@angular/core/package.json
Code\x20H  4669 presidio   38r      REG                1,5         8116            19377488 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/node_modules/rxjs/package.json
Code\x20H  4669 presidio   39r      REG                1,5         1982            19379236 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/node_modules/@angular/common/package.json
Code\x20H  4669 presidio   40r      REG                1,5         1776            19362994 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/node_modules/@angular/router/package.json
Code\x20H  4669 presidio   41r      REG                1,5        11379            19451161 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/node_modules/@angular/material/package.json
Code\x20H  4669 presidio   42r      REG                1,5         4954            19451186 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/node_modules/@angular/cdk/package.json
Code\x20H  4669 presidio   43r      REG                1,5         1114            19360570 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/package.json
